Movie Names,Ratings
178.      On the Waterfront(1954),8.1
179.      Bacheha-Ye aseman(1997),8.1
180.      The Third Man(1949),8.1
181.      Ben-Hur(1959),8.1
182.      Before Sunrise(1995),8.1
183.      12 Years a Slave(2013),8.1
184.      Smultronstället(1957),8.1
185.      The General(1926),8.1
186.      Gone Girl(2014),8.1
187.      Harry Potter and the Deathly Hallows: Part 2(2011),8.1
188.      The Deer Hunter(1978),8.1
189.      In the Name of the Father(1993),8.1
190.      The Grand Budapest Hotel(2014),8.1
191.      Mr. Smith Goes to Washington(1939),8.1
192.      Barry Lyndon(1975),8.1
193.      Le salaire de la peur(1953),8.1
194.      Sherlock Jr.(1924),8.1
195.      Salinui chueok(2003),8.1
196.      Hacksaw Ridge(2016),8.1
197.      Klaus(2019),8.1
198.      Relatos salvajes(2014),8.1
199.      Det sjunde inseglet(1957),8.1
200.      Room(2015),8.1
201.      Mad Max: Fury Road(2015),8.1
202.      How to Train Your Dragon(2010),8.1
203.      The Big Lebowski(1998),8.1
204.      Mary and Max.(2009),8.1
"205.      Monsters, Inc.(2001)",8.1
206.      Jaws(1975),8.1
207.      La passion de Jeanne d'Arc(1928),8.1
208.      Tôkyô monogatari(1953),8.1
209.      Dead Poets Society(1989),8.1
210.      Hotel Rwanda(2004),8.1
211.      Rocky(1976),8.0
212.      Ford v Ferrari(2019),8.0
213.      Platoon(1986),8.0
214.      Pather Panchali(1955),8.0
215.      Stand by Me(1986),8.0
216.      The Terminator(1984),8.0
217.      Spotlight(2015),8.0
218.      Rush(2013),8.0
219.      Network(1976),8.0
220.      Logan(2017),8.0
221.      Into the Wild(2007),8.0
222.      The Wizard of Oz(1939),8.0
223.      Ratatouille(2007),8.0
224.      Groundhog Day(1993),8.0
225.      Before Sunset(2004),8.0
226.      The Exorcist(1973),8.0
227.      The Best Years of Our Lives(1946),8.0
228.      The Incredibles(2004),8.0
229.      To Be or Not to Be(1942),8.0
230.      The Grapes of Wrath(1940),8.0
231.      La battaglia di Algeri(1966),8.0
232.      Rebecca(1940),8.0
233.      Hachi: A Dog's Tale(2009),8.0
234.      Cool Hand Luke(1967),8.0
235.      Amores perros(2000),8.0
236.      Pirates of the Caribbean: The Curse of the Black Pearl(2003),8.0
237.      La haine(1995),8.0
238.      Les quatre cents coups(1959),8.0
239.      Babam ve Oglum(2005),8.0
240.      Persona(1966),8.0
241.      It Happened One Night(1934),8.0
242.      The Sound of Music(1965),8.0
243.      Life of Brian(1979),8.0
244.      Dersu Uzala(1975),8.0
245.      Ah-ga-ssi(2016),8.0
246.      Jai Bhim(2021),8.0
247.      Aladdin(1992),8.0
248.      Gandhi(1982),8.0
249.      The Help(2011),8.0
250.      The Iron Giant(1999),8.0
